event_id,name,branch,date,feedback_score,attendance.registered,attendance.actual,attendance.age_breakdown.0-5,attendance.age_breakdown.6-12,attendance.age_breakdown.13-17,attendance.age_breakdown.18+
EVT0000,Computer Skills Workshop,Plaistow,2025-03-07,4.0,18,27,9,4,3,16
EVT0001,Computer Skills Workshop,Custom House,2025-01-09,4.0,13,31,10,0,4,16
EVT0002,Computer Skills Workshop,Custom House,2024-12-20,3.7,24,16,0,10,5,7
EVT0003,Children's Story Hour,North Woolwich,2025-01-22,3.2,43,43,2,15,3,18
EVT0004,Author Talk,Custom House,2025-06-19,4.5,38,32,4,0,5,6
EVT0005,Computer Skills Workshop,Plaistow,2025-03-08,3.3,13,35,8,14,7,10
EVT0006,Children's Story Hour,Custom House,2025-01-12,4.7,11,20,8,8,2,5
EVT0007,Homework Help Session,Beckton,2024-10-25,4.3,18,34,3,5,0,5
EVT0008,Computer Skills Workshop,Stratford,2025-08-17,3.2,16,9,7,11,10,15
EVT0009,Computer Skills Workshop,Stratford,2025-09-17,3.7,37,15,0,9,2,19
EVT0010,Author Talk,Manor Park,2025-06-30,3.2,45,30,9,7,0,11
EVT0011,Computer Skills Workshop,Custom House,2025-03-15,4.5,10,18,9,5,2,0
EVT0012,Teen Gaming Night,Beckton,2025-03-06,4.7,45,5,1,8,2,12
EVT0013,Children's Story Hour,Plaistow,2025-07-12,4.6,44,6,1,14,7,0
EVT0014,Children's Story Hour,Plaistow,2025-02-08,3.6,22,33,0,10,10,0
EVT0015,Book Club Meeting,East Ham,2025-02-03,3.4,21,31,7,5,4,8
EVT0016,Children's Story Hour,Beckton,2025-04-01,4.8,38,15,9,8,7,13
EVT0018,Author Talk,Custom House,2025-06-11,3.4,49,40,5,3,9,7
EVT0019,Computer Skills Workshop,North Woolwich,2025-05-09,3.8,20,36,2,2,2,18
EVT0020,Author Talk,North Woolwich,2024-11-02,4.4,13,24,9,13,0,4
EVT0021,Computer Skills Workshop,Plaistow,2024-11-26,5.0,31,15,7,5,8,20
EVT0022,Teen Gaming Night,Plaistow,2025-09-01,4.0,26,44,10,11,0,14
EVT0023,Teen Gaming Night,Plaistow,2025-06-15,3.0,29,5,6,15,5,13
EVT0024,Children's Story Hour,Custom House,2024-11-10,4.5,10,11,9,5,9,1
EVT0025,Author Talk,Beckton,2025-03-03,4.8,29,20,9,1,4,8
EVT0026,Teen Gaming Night,East Ham,2025-08-12,4.9,21,15,5,6,3,6
EVT0027,Book Club Meeting,Manor Park,2025-07-17,4.9,14,7,2,11,10,10
EVT0028,Children's Story Hour,Custom House,2025-02-04,3.8,24,26,4,10,10,1
EVT0029,Teen Gaming Night,Beckton,2025-06-14,3.5,45,40,4,6,9,6
EVT0030,Book Club Meeting,Manor Park,2024-11-08,3.1,25,30,2,13,2,0
EVT0032,Teen Gaming Night,Stratford,2025-05-24,3.3,38,26,9,12,5,19
EVT0033,Children's Story Hour,Stratford,2025-03-18,3.6,19,20,7,12,3,2
EVT0034,Author Talk,Manor Park,2025-07-17,3.5,20,9,0,12,2,19
EVT0035,Children's Story Hour,Custom House,2025-06-07,3.9,23,33,5,3,9,4
EVT0036,Homework Help Session,East Ham,2025-02-24,4.7,16,35,5,7,6,4
EVT0037,Author Talk,Plaistow,2025-01-28,4.8,30,14,10,12,4,12
EVT0039,Teen Gaming Night,East Ham,2024-10-29,4.4,44,22,5,4,4,1
EVT0040,Children's Story Hour,Manor Park,2025-07-31,4.4,24,26,5,0,5,3
EVT0041,Book Club Meeting,Stratford,2024-12-24,3.9,47,45,1,9,3,1
EVT0042,Teen Gaming Night,Plaistow,2025-04-01,4.5,50,13,4,14,9,4
EVT0043,Book Club Meeting,East Ham,2024-10-25,3.6,15,37,8,7,4,20
EVT0044,Teen Gaming Night,Beckton,2025-05-27,3.1,17,42,2,0,4,17
EVT0045,Computer Skills Workshop,North Woolwich,2025-03-13,5.0,34,41,3,6,3,5
EVT0046,Computer Skills Workshop,Manor Park,2025-09-16,4.1,16,27,9,1,2,10
EVT0047,Author Talk,Plaistow,2024-10-25,3.7,27,8,8,10,10,16
EVT0048,Teen Gaming Night,Custom House,2024-10-16,4.6,22,39,2,10,6,15
EVT0049,Children's Story Hour,North Woolwich,2025-02-07,3.7,42,22,6,15,2,18
EVT0050,Book Club Meeting,Beckton,2025-07-24,3.3,50,25,5,2,9,12
EVT0051,Book Club Meeting,Beckton,2025-08-13,4.5,32,5,1,5,5,20
EVT0052,Author Talk,Plaistow,2025-01-07,4.3,21,40,6,6,9,8
EVT0053,Children's Story Hour,Beckton,2025-03-27,3.4,20,15,3,8,1,9
EVT0054,Children's Story Hour,Beckton,2024-12-20,3.9,10,43,10,13,6,5
EVT0055,Book Club Meeting,Plaistow,2025-07-15,3.4,35,5,4,10,0,18
EVT0057,Children's Story Hour,Custom House,2025-01-19,3.3,24,20,5,6,8,19
EVT0058,Computer Skills Workshop,Stratford,2025-02-09,3.0,15,42,3,12,0,1
EVT0059,Teen Gaming Night,East Ham,2025-10-10,3.2,39,36,10,1,5,12
EVT0060,Homework Help Session,North Woolwich,2025-03-07,4.4,36,8,7,13,2,12
EVT0061,Homework Help Session,Manor Park,2025-01-28,3.5,10,5,9,10,3,14
EVT0062,Children's Story Hour,Plaistow,2025-07-18,3.2,37,14,3,3,3,6
EVT0063,Homework Help Session,Beckton,2025-09-03,3.4,49,21,4,2,6,9
EVT0064,Children's Story Hour,Plaistow,2025-08-28,3.9,32,22,4,3,3,14
EVT0065,Computer Skills Workshop,Custom House,2024-11-13,4.2,33,35,6,1,6,6
EVT0066,Book Club Meeting,Custom House,2025-05-18,3.2,12,22,6,2,7,10
EVT0067,Teen Gaming Night,Plaistow,2025-09-11,3.1,11,10,7,6,2,9
EVT0069,Computer Skills Workshop,East Ham,2025-03-05,3.8,24,22,5,13,5,6
EVT0070,Author Talk,Plaistow,2025-01-07,3.5,46,5,2,11,4,17
EVT0071,Book Club Meeting,Plaistow,2025-08-24,3.9,45,41,0,8,7,5
EVT0072,Homework Help Session,Manor Park,2025-06-16,4.3,14,5,0,10,3,16
EVT0073,Author Talk,Plaistow,2025-04-08,4.2,27,16,1,12,4,7
EVT0074,Children's Story Hour,Beckton,2024-11-08,3.9,12,42,3,15,8,2
EVT0075,Author Talk,Plaistow,2024-11-24,4.8,50,31,1,9,3,14
